Name,Path to File,Sub-Theme Name,Variable Name,Description,Time Period,Climate Model,RCP,Crop,Water Supply,Input Level,Data  Units,Recommended Renderer,Download URL,File Identifier,New Water Supply,New Crop
toma200b_yld,\res02\CRUTS32\Hist\8110L\toma200b_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Tomato with an Available water content of 200 mm/m (under rain-fed conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Tomato,Available water content of 200 mm/m (under rain-fed conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/toma200b_yld.tif,278791,Rain-fed,TOM
tsrg200a_yld,\res02\CRUTS32\Hist\8110L\tsrg200a_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Temperate sorghum with an Available water content of 200 mm/m (under irrigation conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Temperate sorghum,Available water content of 200 mm/m (under irrigation conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/tsrg200a_yld.tif,279473,Irrigation,Nan
tsrg200b_yld,\res02\CRUTS32\Hist\8110L\tsrg200b_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Temperate sorghum with an Available water content of 200 mm/m (under rain-fed conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Temperate sorghum,Available water content of 200 mm/m (under rain-fed conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/tsrg200b_yld.tif,282407,Rain-fed,Nan
wbrl200a_yld,\res02\CRUTS32\Hist\8110L\wbrl200a_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Winter barley with an Available water content of 200 mm/m (under irrigation conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Winter barley,Available water content of 200 mm/m (under irrigation conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/wbrl200a_yld.tif,279382,Irrigation,Nan
wbrl200b_yld,\res02\CRUTS32\Hist\8110L\wbrl200b_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Winter barley with an Available water content of 200 mm/m (under rain-fed conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Winter barley,Available water content of 200 mm/m (under rain-fed conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/wbrl200b_yld.tif,280960,Rain-fed,Nan
whea200a_yld,\res02\CRUTS32\Hist\8110L\whea200a_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Wheat with an Available water content of 200 mm/m (under irrigation conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Wheat,Available water content of 200 mm/m (under irrigation conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/whea200a_yld.tif,281993,Irrigation,WHE
whea200b_yld,\res02\CRUTS32\Hist\8110L\whea200b_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Wheat with an Available water content of 200 mm/m (under rain-fed conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Wheat,Available water content of 200 mm/m (under rain-fed conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/whea200b_yld.tif,282058,Rain-fed,WHE
wpot200a_yld,\res02\CRUTS32\Hist\8110L\wpot200a_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for White potato with an Available water content of 200 mm/m (under irrigation conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,White potato,Available water content of 200 mm/m (under irrigation conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/wpot200a_yld.tif,281559,Irrigation,PTW
wpot200b_yld,\res02\CRUTS32\Hist\8110L\wpot200b_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for White potato with an Available water content of 200 mm/m (under rain-fed conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,White potato,Available water content of 200 mm/m (under rain-fed conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/wpot200b_yld.tif,281425,Rain-fed,PTW
wrye200a_yld,\res02\CRUTS32\Hist\8110L\wrye200a_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Winter rye with an Available water content of 200 mm/m (under irrigation conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Winter rye,Available water content of 200 mm/m (under irrigation conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/wrye200a_yld.tif,279447,Irrigation,Nan
wrye200b_yld,\res02\CRUTS32\Hist\8110L\wrye200b_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Winter rye with an Available water content of 200 mm/m (under rain-fed conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Winter rye,Available water content of 200 mm/m (under rain-fed conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/wrye200b_yld.tif,282775,Rain-fed,Nan
wwhe200a_yld,\res02\CRUTS32\Hist\8110L\wwhe200a_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Winter wheat with an Available water content of 200 mm/m (under irrigation conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Winter wheat,Available water content of 200 mm/m (under irrigation conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/wwhe200a_yld.tif,281490,Irrigation,Nan
wwhe200b_yld,\res02\CRUTS32\Hist\8110L\wwhe200b_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Winter wheat with an Available water content of 200 mm/m (under rain-fed conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Winter wheat,Available water content of 200 mm/m (under rain-fed conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/wwhe200b_yld.tif,280625,Rain-fed,Nan
wyam200a_yld,\res02\CRUTS32\Hist\8110L\wyam200a_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for White yam with an Available water content of 200 mm/m (under irrigation conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,White yam,Available water content of 200 mm/m (under irrigation conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/wyam200a_yld.tif,277201,Irrigation,Nan
wyam200b_yld,\res02\CRUTS32\Hist\8110L\wyam200b_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for White yam with an Available water content of 200 mm/m (under rain-fed conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,White yam,Available water content of 200 mm/m (under rain-fed conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/wyam200b_yld.tif,278633,Rain-fed,Nan
yams200a_yld,\res02\CRUTS32\Hist\8110L\yams200a_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Yam with an Available water content of 200 mm/m (under irrigation conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Yam,Available water content of 200 mm/m (under irrigation conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/yams200a_yld.tif,280559,Irrigation,YAM
yams200b_yld,\res02\CRUTS32\Hist\8110L\yams200b_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Yam with an Available water content of 200 mm/m (under rain-fed conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Yam,Available water content of 200 mm/m (under rain-fed conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/yams200b_yld.tif,280277,Rain-fed,YAM
yyam200a_yld,\res02\CRUTS32\Hist\8110L\yyam200a_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Yellow yam with an Available water content of 200 mm/m (under irrigation conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Yellow yam,Available water content of 200 mm/m (under irrigation conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/yyam200a_yld.tif,279488,Irrigation,Nan
yyam200b_yld,\res02\CRUTS32\Hist\8110L\yyam200b_yld.tif,Agro-climatic Yield,Agro-climatic potential yield,Agro-climatic potential yield for the time period 1981-2010 for Yellow yam with an Available water content of 200 mm/m (under rain-fed conditions) and low input level using climate data source CRUTS32 based on Historical,1981-2010,CRUTS32,Historical,Yellow yam,Available water content of 200 mm/m (under rain-fed conditions),Low,kg DW/ha,Agro-climatic Potential Yield Symbology, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/yyam200b_yld.tif,279226,Rain-fed,Nan
